010,Makestatement,notspbelow
011,Declinecomment
012,Makepessimisticcomment
013,Makeoptimisticcomment
014,Considerpolicyoption
015,Acknowledgeorclaimresponsibility
016,Rejectaccusation,denyresponsibility
017,Engageinsymbolicact
018,Makeempatheticcomment
019,Expressaccord
020,Makeanappealorrequest,notspbelow
021,Appealformaterialcooperation
0211,Appealforeconomiccooperation
0212,Appealformilitarycooperation
0213,Appealforjudicialcooperation
0214,Appealforintelligencecooperation
022,Appealfordiplomaticcooperation(suchaspolicysupport)
023,Appealformaterialaid,notspbelow
0231,Appealforeconomicaid
0232,Appealformilitaryaid.
0233,Appealforhumanitarianaid
0234,Appealformilitaryprotectionorpeacekeeping
024,Appealforpoliticalreform,notspbelow
0241,Appealforleadershipchange
0242,Appealforpolicychange
0243,Appealforrights
0244,Appealforchangeininstitutions,regime
025,Appealtoyield,notspecbelow
0251,Appealforeasingofadministrativesanction
0252,Appealforeasingofpoliticaldissent
0253,Appealforreleaseofpersonsorproperty
0254,Appealforeasingofeconomicsanctions,boycott,orembargo
0255,Appealtoallowinternationalinvolvement(non-mediation)
0256,Appealfortargettode-escalationofmilitaryengagement
026,Appealtootherstomeetornegotiate
027,Appealtootherstosettledispute
028,Appealtootherstoengageinoracceptmediation
030,Expressintenttocooperate,notspbelow
031,Expressintenttoengageinmaterialcooperation,notsp
0311,Expressintenttocooperateeconomically
0312,Expressintenttocooperatemilitarily
0313,Expressintenttocooperateonjudicialmatters
0314,Expressintenttocooperateonintelligence
032,Expressintenttoengageindiplomaticcooperation(suchaspolicy
033,Expressintenttoprovidematerialaid,notspbelow
0331,Expressintenttoprovideeconomicaid
0332,Expressintenttoprovidemilitaryaid
0333,Expressintenttoprovidehumanitarianaid
0334,Expressintenttoprovidemilitaryprotectionorpeacekeeping
034,Expressintenttoinstitutepoliticalreform,notspbelow
0341,Expressintenttochangeleadership
0342,Expressintenttochangepolicy
0343,Expressintenttoproviderights
0344,Expressintenttochangeinstitutions,regime
035,Expressintenttoyield,notspbelow
0351,Expressintenttoeaseadministrativesanctions
0352,Expressintenttoeasepopulardissent
0353,Expressintenttoreleasepersonsorproperty
0354,Expressintenttoeaseeconomicsanctions,boycott,orembargo
0355,Expressintenttoallowinternationalinvolvement(non-mediation)
0356,Expressintenttode-escalatemilitaryengagement
036,Expressintenttomeetornegotiate
037,Expressintenttosettledispute
038,Expressintenttoacceptmediation
039,Expressintenttomediate
040,Consult,notspbelow
041,Discussbytelephone
042,Makeavisit
043,Hostavisit
044,Meetata`third'location
045,Engageinmediation
046,Engageinnegotiation
050,Engageindiplomaticcooperation,notspbelow
051,Praiseorendorse
052,Defendverbally
053,Rallysupportonbehalfof
054,Grantdiplomaticrecognition
055,Apologize
056,Forgive
shouldbecodedas0841instead.,Example
057,Signformalagreement
060,Engageinmaterialcooperation,notspbelow
061,Cooperateeconomically
062,Cooperatemilitarily
063,Engageinjudicialcooperation
064,Shareintelligenceorinformation
070,Provideaid,notspbelow
071,Provideeconomicaid
072,Providemilitaryaid
073,Providehumanitarianaid
074,Providemilitaryprotectionorpeacekeeping
075,Grantasylum
080,Yield,notspbelow
081,Easeadministrativesanctions,notspbelow
0811,Easerestrictionsonpoliticalfreedoms
0812,Easebanonpoliticalpartiesorpoliticians
0813,Easecurfew
0814,Easestateofemergencyormartiallaw
082,Easepoliticaldissent
083,Accedetorequestsordemandsforpoliticalreform,notsp
0831,Accedetodemandsforchangeinleadership
0832,Accedetodemandsforchangeinpolicy
0833,Accedetodemandsforrights
0834,Accedetodemandsforchangeininstitutions,regime
084,Return,release,notspbelow
0841,Return,releasepersons
0842,Return,releaseproperty
085,Easeeconomicsanction,boycott,orembargo
086,Allowinternationalinvolvement,notspbelow
0861,Receivedeploymentofpeacekeepers
0862,Receiveinspectors
0863,Allowforhumanitarianaccess
087,De-escalatemilitaryengagement,notspbelow
0871,Declaretruce,
0872,Easemilitaryblockade
0873,Demobilizearmedforces
0874,Retreatorsurrendermilitarily
090,Investigate,notspbelow
091,Investigatecrime,corruption
092,Investigatehumanrightsabuses
093,Investigatemilitaryaction
094,Investigatewarcrimes
100,Demand,notspbelow
101,Demandmaterialcooperation,notspbelow
1011,Demandeconomiccooperation
1012,Demandmilitarycooperation
1013,Demandjudicialcooperation
1014,Demandintelligencecooperation
102,Demandfordiplomaticcooperation(suchaspolicysupport)
103,Demandmaterialaid,notspbelow
1031,Demandeconomicaid
1032,Demandmilitaryaid
1033,Demandhumanitarianaid
1034,Demandmilitaryprotectionorpeacekeeping
104,Demandpoliticalreform,notspbelow
1041,Demandleadershipchange
1042,Demandpolicychange
1043,Demandrights
1044,Demandchangeininstitutions,regime
105,Demandthattargetyield,notspbelow
1051,Demandeasingofadministrativesanctions
1052,Demandeasingofpoliticaldissent
1053,Demandreleaseofpersonsorproperty
1054,Demandeasingofeconomicsanctions,boycott,orembargo
1055,Demandtoallowinternationalinvolvement(non-mediation)
1056,Demandde-escalationofmilitaryengagement
106,Demandmeeting,negotiation
107,Demandsettlingofdispute
108,Demandmediation
110,Disapprove,notspbelow
111,Criticizeordenounce
112,Accuse,notspbelow
1121,Accuseofcrime,corruption
1122,Accuseofhumanrightsabuses
1123,Accuseofaggression
1124,Accuseofwarcrimes
1125,Accuseofespionage,treason
113,Rallyoppositionagainst
114,Complain
115,Bringlawsuitagainst
116,Findguiltyorliable(legally)
